MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
2,목,거여,하선,0.6,2.3,2,6.95,2.85,2.85,4.2,5.55,5.55,6.4,9.2,12.85,8.75,15.25,12.95,10.4,10.45,9.1,6.4,3.15
2,목,둔촌동,상선,19.7,26.8,57.6,60.1,45.35,38.2,33.1,35.8,34.25,31.05,37,52.1,51.45,66.6,47.95,28.8,26.65,30.1,13.3,5.65
2,목,둔촌동,하선,9.5,19.8,40.5,84.15,28.25,21.1,25.65,30.45,32.25,30.15,34.4,42.95,30.3,51.4,37.65,32.85,29.95,28.45,17.95,9.2
2,목,마천,상선,9.3,10.15,20.65,21.2,11.8,8,6.75,7.3,6.5,6.45,5.25,6.9,4.95,6.6,3.45,2.75,2.15,1.8,0.85,0.25
2,목,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,목,방이,상선,19.6,25,57.15,59.35,43.4,32.9,26.5,29.45,29.5,24.8,29.4,41,39.6,61.25,39.35,24.55,22.65,23.5,9.8,2.15
2,목,방이,하선,8.2,15.6,26.75,57.75,20.05,14.9,19.4,22.85,24.45,24.1,28.85,38.7,28.5,47,35.65,31.25,28.6,30.45,17.5,7.65
2,목,오금,상선,17.7,21.6,50.85,54.95,39.05,29.15,23.6,26.5,26.55,23.4,27.25,39.6,36.95,54.5,34.75,21.95,19,18.9,9.25,1.9
2,목,오금,하선,2.7,9.2,9.95,26.2,10.2,9.5,13.4,17.85,20.2,22.35,28.3,40.3,28.05,50.4,41.7,33.45,30.45,31.55,19.4,8.15
2,목,올림픽공원,상선,14.1,19.95,42.25,46.4,34.55,29.2,25,27.35,26.6,24.25,29.6,41.15,39.9,55,38.65,24.1,21.95,25.15,11.25,4.75
2,목,올림픽공원,하선,6.5,13.85,25.15,56.15,17.8,14,17.75,21.2,23.05,22.6,28.45,37.6,25.3,44.55,33,28.55,25.95,24.95,17,7.35
2,수,강동,상선,22.2,35.9,59.2,83.05,62.6,44.15,36.5,39.4,32.35,30.25,32.75,40.3,39.65,41.65,29.2,20.45,17.7,18.4,10.5,2.65
2,수,강동,하선,7.6,19.6,29.3,54.9,19.75,18.4,24.25,31.3,34.05,34.15,43.8,54.05,58.85,82.55,61.95,48.8,48.45,41.15,27.6,13.35
2,수,개롱,상선,22.6,24.25,58.6,62.5,38.1,27.7,21.9,23.75,21.95,19.85,19.5,28.55,21.15,24.05,15.8,10.65,9.55,8,3.8,0.95
2,수,개롱,하선,1.7,6.05,6.75,18.7,7.25,6.75,9.8,12.9,15.1,16.45,21.8,29.6,21.05,38.45,31.75,24.95,22.95,23.4,14.55,6.25
2,수,거여,상선,18,20.1,46.1,49.05,28.85,20.15,15.9,17.2,15.8,14.45,13.7,18.6,13.5,15.65,10.25,7.05,6.25,4.85,2.5,0.7
2,수,거여,하선,0.6,2.35,2.1,7.05,2.85,2.85,4.25,5.65,5.65,6.5,9.35,13.05,8.85,15.4,13.1,10.55,10.6,9.2,6.5,3.15
2,수,둔촌동,상선,19.8,26.9,57.9,60.4,45.55,38.4,33.2,36,34.4,31.25,37.2,52.3,51.75,66.9,48.2,28.95,26.8,30.2,13.35,5.65
2,수,둔촌동,하선,9.6,19.9,40.7,84.55,28.35,21.2,25.75,30.65,32.35,30.25,34.6,43.2,30.45,51.65,37.85,32.95,30.15,28.6,18,9.25
